@relation features_/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples

@attribute filename string
@attribute AOA numeric
@attribute BROWN-FREQ numeric
@attribute CONC numeric
@attribute FAM numeric
@attribute IMAG numeric
@attribute K-F-FREQ numeric
@attribute K-F-NCATS numeric
@attribute K-F-NSAMP numeric
@attribute MEANC numeric
@attribute MEANP numeric
@attribute NLET numeric
@attribute NPHON numeric
@attribute NSYL numeric
@attribute T-L-FREQ numeric
@attribute WC numeric
@attribute WPS numeric
@attribute Qmarks numeric
@attribute Unique numeric
@attribute Dic numeric
@attribute Sixltr numeric
@attribute Abbreviations numeric
@attribute Emoticons numeric
@attribute Pronoun numeric
@attribute I numeric
@attribute We numeric
@attribute Self numeric
@attribute You numeric
@attribute Other numeric
@attribute Negate numeric
@attribute Assent numeric
@attribute Article numeric
@attribute Preps numeric
@attribute Number numeric
@attribute Affect numeric
@attribute Posemo numeric
@attribute Posfeel numeric
@attribute Optim numeric
@attribute Negemo numeric
@attribute Anx numeric
@attribute Anger numeric
@attribute Sad numeric
@attribute Cogmech numeric
@attribute Cause numeric
@attribute Insight numeric
@attribute Discrep numeric
@attribute Inhib numeric
@attribute Tentat numeric
@attribute Certain numeric
@attribute Senses numeric
@attribute See numeric
@attribute Hear numeric
@attribute Feel numeric
@attribute Social numeric
@attribute Comm numeric
@attribute Othref numeric
@attribute Humans numeric
@attribute Time numeric
@attribute Past numeric
@attribute Present numeric
@attribute Future numeric
@attribute Space numeric
@attribute Up numeric
@attribute Down numeric
@attribute Incl numeric
@attribute Excl numeric
@attribute Motion numeric
@attribute Achieve numeric
@attribute Relig numeric
@attribute Sexual numeric
@attribute Swear numeric
@attribute Nonfl numeric
@attribute Fillers numeric
@attribute Period numeric
@attribute Comma numeric
@attribute Colon numeric
@attribute SemiC numeric
@attribute QMark numeric
@attribute Exclam numeric
@attribute Dash numeric
@attribute Quote numeric
@attribute Apostro numeric
@attribute Parenth numeric
@attribute OtherP numeric
@attribute AllPct numeric
@attribute Extraversion numeric
@attribute 'Emotional stability' numeric
@attribute Agreeableness numeric
@attribute Conscientiousness numeric
@attribute 'Openness to experience' numeric

@data
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/32,-0.752033,?,1.236782,0.366879,0.916263,?,?,?,0.814618,-0.455041,-0.111417,0.013301,0.369939,?,2.166895,-0.860716,-0.441336,-1.290714,0.507619,-0.018747,0,0,-0.221477,0.677613,-0.58636,0.513133,-0.755119,-0.428654,-0.773607,-0.043115,0.191963,0.483917,0.920647,-0.423637,0.06848,0.190073,-0.47415,-0.737325,-0.143276,-0.573436,-0.614986,1.262571,0.689659,0.299365,0.902123,0.653536,0.185588,-0.258543,0.353126,0.755504,0.039595,-0.225429,-0.759037,0.055566,-1.113021,-0.249522,-0.383887,-0.503182,-0.403916,-0.610588,-0.269129,0.298584,-0.33781,0.689953,-1.042891,-0.458553,-0.335108,-0.207613,-0.501839,-0.328204,1.184263,-0.069738,0.980464,0.591945,-0.154847,0.909158,-0.30875,-0.152442,2.188923,0.678578,-0.279531,-0.108486,-0.168239,1.599765,4.743075,3.134673,4.265236,4.04683,3.918224
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/337,-1.226669,?,0.946904,-0.961651,1.37159,?,?,?,0.560149,-0.129579,-0.016977,0.218969,-0.366666,?,-0.320943,-0.701653,-0.039781,0.536509,1.490444,-0.238377,0,0,-0.408006,-0.410858,-0.652017,-0.663869,-0.351431,2.045312,-0.411976,-1.010697,0.860468,0.092729,0.499742,0.863626,1.03395,-0.648828,0.296757,0.023908,-0.352038,0.230829,0.825948,-1.617262,0.14654,-0.141227,-1.975463,0.060317,-0.394173,-0.264796,0.40601,1.027413,0.054794,-0.695358,0.754461,-0.005873,0.617895,1.084774,0.898427,2.267167,-0.76363,0.121845,0.06319,-0.223116,0.567864,-0.844029,-1.422794,0.047579,-0.385197,0.291896,0.100543,0.54318,0.816284,-0.069738,0.594027,-0.26311,-0.154847,-0.480157,0.024272,-0.152442,0.649627,-0.139696,-0.667705,-0.108486,0.106816,0.066723,3.864625,3.701444,4.12206,3.940231,4.062652
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/178,1.767957,?,-0.415202,-2.916698,0.156824,?,?,?,-1.15354,0.370457,3.08357,1.96211,2.454103,?,-0.845066,-0.077334,-0.245853,1.857607,-1.034055,3.318968,0,0,-2.669204,-1.78197,2.156401,-1.134322,-1.375273,-0.79063,2.221067,-1.010697,0.511483,0.988304,2.935498,-0.778256,-2.181435,-0.648828,-1.01486,1.457838,0.923638,-0.573436,-0.614986,-1.842485,-1.451803,-0.94745,-1.026172,-0.633418,-0.02887,-0.944916,0.664205,-1.304282,2.411812,-0.695358,-0.196244,1.250225,-0.682298,-0.23226,1.930538,0.039658,-1.047745,-1.169603,-1.164746,-1.670616,-0.743159,1.413566,0.196603,-0.520075,0.157059,-0.298954,-0.501839,0.220573,-0.927903,-0.069738,-0.092274,-1.542397,-0.154847,1.406431,-0.298796,-0.152442,-1.057878,-0.139696,-1.579905,-0.108486,-0.61392,-1.856643,2.993546,2.636722,3.189253,3.940295,5.208767
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/288,0.513354,?,0.007858,-1.064064,-0.215686,?,?,?,0.271838,-1.576469,0.632504,0.644927,0.611661,?,-0.728595,-0.557941,-0.995204,0.746459,-0.18894,0.598674,0,0,-0.278309,0.210515,-0.317019,0.112204,-0.418923,0.801825,0.633611,-0.023316,0.129943,-0.949728,0.793437,0.677244,1.556164,0.956297,-0.325143,-0.853769,-0.352038,-0.573436,-0.614986,1.756972,1.489921,2.108038,0.066883,1.555396,-1.164043,2.004635,-0.792937,-0.253315,-0.473871,-0.695358,-0.718836,-0.582725,-0.063658,-0.787466,-0.347694,-0.812739,1.851778,0.052797,-1.630771,-0.75721,-0.743159,-0.430092,0.934625,-0.679419,0.447908,-0.298954,-0.026692,-0.328204,-0.698607,-0.069738,0.681339,-0.010266,-0.154847,-0.480157,-0.848358,-0.152442,-0.51914,-0.139696,-0.675954,-0.108486,0.523082,-0.331296,3.53666,2.999878,3.537595,4.311452,3.677743
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/282,-0.561552,?,-0.07634,0.953755,0.188873,?,?,?,0.233791,1.200872,0.016201,-0.325895,-0.034624,?,0.473394,-0.339711,0.703326,-0.921906,-0.585802,0.269912,0,0,1.032345,0.706891,0.215541,0.824918,-0.582321,0.661192,-1.175221,-0.645402,-0.952178,-0.287228,-0.089874,-0.831976,-0.699891,-0.648828,0.51616,-0.471878,-0.352038,-0.573436,-0.614986,-0.929372,-0.518949,-0.047151,-0.517166,-0.633418,-0.85859,-1.177582,0.337057,0.834224,-0.876255,1.078782,-0.303329,-0.593947,0.069473,-1.038172,-0.668727,1.354683,-1.22221,-1.018855,2.403003,1.201762,0.787168,2.533189,0.814096,-0.143378,-0.461134,-0.126532,-0.326052,-0.328204,-0.758241,-0.069738,-0.080114,-0.848048,-0.154847,-0.480157,0.509777,-0.152442,0.187829,-0.139696,-0.63675,-0.108486,-0.193271,-0.654369,4.074396,3.465532,3.210401,2.876792,2.639956
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/289,0.672579,?,-0.698917,0.148292,-1.447575,?,?,?,-0.786026,-2.188277,1.250047,0.948411,0.284115,?,-1.008127,-0.462893,5.374283,1.21789,0.217198,0.944774,0,0,-0.457443,-1.345429,-0.097349,-1.460528,-1.284045,3.967969,-0.534525,-1.010697,0.108702,0.396,-0.405648,-1.165514,-1.739401,-0.648828,-1.01486,0.388293,-0.352038,1.527322,-0.614986,1.838678,2.027286,1.886638,-0.054081,-0.633418,-0.055987,-1.553713,-1.572224,-0.43422,-1.377992,-0.695358,0.945256,-0.495973,1.377824,1.45004,-0.824421,-0.510754,3.254288,0.854371,0.174082,-1.670616,-0.743159,-1.652235,2.377351,-1.485694,-0.198611,-0.298954,-0.501839,-0.328204,-0.927903,-0.069738,-1.56782,-1.421001,-0.154847,-0.480157,4.470076,-0.152442,-0.611874,-0.139696,-1.685583,-0.108486,3.151233,-1.513118,3.671877,3.688898,4.123269,6.036813,3.801999
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/102,0.639881,?,-0.984891,0.347964,-1.302739,?,?,?,-0.868197,-0.106371,0.335303,0.304628,-0.087274,?,-0.234754,1.32274,-0.995204,-0.291119,0.432774,0.143379,0,0,-0.808754,-0.166454,-0.652017,-0.404747,0.026535,-1.070998,-0.773228,-0.429772,0.194099,0.805645,0.01249,0.483749,1.274159,-0.334036,-0.20327,-0.798448,-0.352038,-0.324609,-0.614986,0.323271,-0.710048,0.070538,1.407455,-0.633418,-0.371542,-0.357397,-0.753563,0.550725,-1.112023,-0.695358,-0.9854,-0.271215,-0.882349,-0.483035,-0.854726,-0.75782,0.269686,0.987993,1.110447,1.285095,-0.134742,-0.571721,1.365643,0.886165,2.400645,-0.298954,-0.501839,-0.058611,1.635318,-0.069738,-0.898463,1.587921,-0.154847,-0.480157,-0.848358,-0.152442,-0.740912,-0.139696,0.495491,-0.108486,0.055035,0.289113,3.836995,3.360729,4.413627,4.379797,4.433241
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/185,0.996003,?,1.282231,-1.480441,0.928125,?,?,?,-0.071493,1.532985,1.766146,2.679157,1.522988,?,-1.080339,-0.009705,-0.995204,0.946876,-0.164137,2.212411,0,0,-2.405643,-1.1213,0.015774,-1.183299,-0.819826,-0.137667,-0.366259,-1.010697,0.765006,1.98176,-0.263288,2.201163,2.608241,1.484299,0.360037,0.081357,-0.352038,0.269631,1.650694,-0.567605,0.223653,-0.246525,1.018776,-0.633418,-0.134974,-1.553713,-2.122629,-1.304282,-1.377992,-0.695358,0.221119,-0.30787,-0.509094,1.987529,-0.153737,0.482414,-0.183691,-1.169603,-1.892757,-1.670616,-0.743159,-0.440697,0.400306,-0.682071,-0.994932,0.630081,-0.501839,-0.328204,0.443349,-0.069738,0.031198,0.362135,-0.154847,-0.480157,-0.848358,-0.152442,-0.520913,-0.139696,-1.806259,-0.108486,-0.61392,-0.737031,4.062107,3.72514,5.184263,5.753884,5.14119
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/330,0.747981,?,-0.759236,-1.566598,-0.44593,?,?,?,0.274946,-1.484038,-0.409158,-0.37744,-0.49326,?,-0.612123,-0.6543,0.322621,0.402757,-1.201247,-0.388008,0,0,0.478196,-0.165532,1.073268,0.200249,-0.588165,1.139384,1.634437,0.684354,-0.328873,-0.311058,-0.560875,0.209871,0.339289,0.269686,0.76121,-0.091907,2.390847,-0.573436,0.360604,0.975373,-0.008918,-0.490246,2.227161,-0.633418,-0.199321,0.627953,-0.125267,0.499927,-0.213904,-0.695358,-0.006506,-0.701076,0.631316,-0.502268,-0.431211,0.972068,-1.143794,-0.120347,-0.40092,-0.886587,-0.743159,-0.194928,-0.329678,-1.485694,-0.169285,-0.298954,-0.093994,-0.328204,0.449823,-0.069738,0.412264,1.416126,-0.154847,2.900203,0.333277,-0.152442,-0.13302,-0.139696,0.777774,-0.108486,-0.61392,1.342067,3.409256,3.310056,3.18412,2.012761,4.046758
/usr/PycharmProjects/DeepWalk_plus/mairesse/PersonalityRecognizer/examples/132,0.524301,?,0.493252,-1.27123,0.898112,?,?,?,0.491133,-0.504706,0.226484,0.237042,0.597456,?,-0.204471,0.768928,-0.540241,0.112977,0.706134,-0.17495,0,0,1.261807,0.856641,-0.459774,0.747259,0.557549,0.13809,-0.215757,-0.444075,-0.630789,0.590456,0.105973,-0.476385,-0.342973,-0.034746,-0.223253,-0.268519,-0.352038,-0.330735,0.689496,-1.105233,-0.728311,-0.991402,-0.890095,-0.633418,-1.9027,0.196578,0.738852,0.203497,1.216219,-0.695358,0.42509,-0.299457,0.513385,-0.04362,-0.081048,0.499274,-1.001172,-0.468112,0.874369,0.426066,-0.149722,1.202421,-1.295505,-0.097617,-0.718935,-0.298954,-0.501839,-0.328204,0.914284,-0.069738,-0.678764,-0.547565,-0.154847,-0.480157,-0.585026,-0.152442,0.797094,-0.139696,-0.666352,-0.108486,0.691048,-0.5329,3.263999,2.731265,2.86456,2.958954,3.819902
